Suburb;Fire_Station
GOEDE HOOP;SOMERSET WEST
GOEDEHOOP;SOMERSET WEST
GOEDEMOED;DURBANVILLE
GOLDEN ACRE;SOMERSET WEST
GOLDEN HILL EXT 1;SOMERSET WEST
GOLIATH ESTATE;KRAAIFONTEIN
GOOD HOPE;KHAYELITSHA
GOODRAIL;GOODWOOD
GOODWOOD  EXT 1;GOODWOOD
GOODWOOD ESTATE;GOODWOOD
GORDON HEIGHTS;STRAND
GORDONS BAY;STRAND
GORDONS BAY EXT 12;STRAND
GORDONS BAY VILLAGE;STRAND
GORDONS STRAND ESTATE;STRAND
GRAANENDAL;DURBANVILLE
GRACELAND;KHAYELITSHA
GRASSY PARK;OTTERY
GREEN POINT;SEA POINT
GREENFIELDS;MFULENI
GREENLANDS;BELLVILLE
GREENVILLE GARDEN CITY;KRAAIFONTEIN
GREENWAYS;STRAND
GROENVALLEI;BELLVILLE
GUGULETU;GUGULETU
HAASENDAL;KUILSRIVER
HAGLEY;KUILSRIVER
HANOVER PARK;OTTERY
HAPPY VALLEY;MFULENI
HARARE;KHAYELITSHA
HARBOUR ISLAND;STRAND
HARDEKRAALTJIE;BELLVILLE
HARMONY VILLAGE;MITCHELLS PLAIN
HATTON;GUGULETU
HAZENDAL;EPPING
HEARTLAND BEACH ROAD PRECINCT;SOMERSET WEST
HEARTLAND HISTORIC PRECINCT;SOMERSET WEST
HEATHFIELD;CONSTANTIA
HEEMSTEDE;BELLVILLE
HEIDEVELD;GUGULETU
HELDERBERG ESTATE;SOMERSET WEST
HELDERBERG INDUSTRIAL PARK;SIR LOWRYS PASS
HELDERBERG PARK;STRAND
HELDERBERG RURAL;SIR LOWRYS PASS
HELDERBERG VILLAGE;MACASSAR
HELDERRANT;SOMERSET WEST
HELDERVUE;SOMERSET WEST
HELDERZICHT;SOMERSET WEST
HELENA HEIGHTS;SOMERSET WEST
HERITAGE PARK;SIR LOWRYS PASS
HIGH RIDING;SIR LOWRYS PASS
HIGHBURY;KUILSRIVER
HIGHBURY PARK;KUILSRIVER
HIGHGATE;MFULENI
HIGHLANDS VILLAGE;MITCHELLS PLAIN
HIGHVELD;SOMERSET WEST
HILLCREST HEIGHTS;MFULENI
HINDLE PARK;MFULENI
HOHEIZEN;BELLVILLE
HOOGSTEDE;BRACKENFELL
HOUT BAY;HOUT BAY
HUMANSHOF;SOMERSET WEST
HUNTERS CREEK;KUILSRIVER
HYDE PARK;MITCHELLS PLAIN
ILITHA PARK;KHAYELITSHA
ILLAIRE;SOMERSET WEST
JACARANDAS;KUILSRIVER
JACOBSDAL SMALLHOLDINGS;MFULENI
JACQUES HILL;SOMERSET WEST
JAGTERSHOF;KUILSRIVER
JAN KRIEL;KUILSRIVER
JOE SLOVO PARK;MILNERTON
JONKERS HOOGTE;SOMERSET WEST
JOOSTENBERGVLAKTE SMALLHOLDINGS;KRAAIFONTEIN
JOUBERTPARK;BELLVILLE
KAAPSIG;BRACKENFELL
KAAPZICHT;GOODWOOD
